"Repository Name","Owner/Author","Description","HTML URL","Primary Language","Created At Date","Star Count"
"ieee-sps-website","Sanjaykumar9441","Official website of IEEE Signal Processing Society (SPS) Student Branch Chapter   Aditya University. Built with React TypeScript Tailwind CSS Node.js Express & MongoDB.","https://github.com/Sanjaykumar9441/ieee-sps-website","TypeScript","2026-02-19T16:25:03Z","0"
"BloodDonationWeb","BollareddyPranoyRaj","Blood donation web app for Aditya University with event registration admin management donor confirmation and live dashboard analytics.","https://github.com/BollareddyPranoyRaj/BloodDonationWeb","JavaScript","2026-03-25T19:09:29Z","1"
"AEcpl","mukesh703","Aditya Engineering","https://github.com/mukesh703/AEcpl","TypeScript","2026-04-26T06:49:00Z","0"
"AdityaUniversity","srinivasaiml","","https://github.com/srinivasaiml/AdityaUniversity","HTML","2026-05-18T08:32:56Z","0"
"java_dsa","neelmyna","This Repo was create for the training for aditya university final year students on java dsa and problem solving. In this training we focused on core java concepts basic to advance data structures and algorithms and scenario based problem solving. The aim was to prepare the students for tier1 company interviews","https://github.com/neelmyna/java_dsa","","2025-06-09T06:18:46Z","0"
"Aditya-Gem","vanathiandiran","IGems for Aditya University","https://github.com/vanathiandiran/Aditya-Gem","TypeScript","2026-05-04T05:43:14Z","0"
"Adityagem","vanathiandiran","Combination of GEMS for Aditya University","https://github.com/vanathiandiran/Adityagem","","2026-05-04T05:40:48Z","0"
"AUSVMS","Narayaaana11","AUSVMS - Aditya University Visitor Management System","https://github.com/Narayaaana11/AUSVMS","TypeScript","2026-05-03T17:34:16Z","0"
"Python-Programs","kowshiii1208","Aditya University Student","https://github.com/kowshiii1208/Python-Programs","Python","2026-04-06T08:52:42Z","0"
"AEcpl","facthistory2026-dotcom","Aditya Engineering","https://github.com/facthistory2026-dotcom/AEcpl","TypeScript","2026-04-26T09:17:24Z","0"
"LMS-platform-for-Aditya-university","Bhargavpolla","","https://github.com/Bhargavpolla/LMS-platform-for-Aditya-university","HTML","2026-04-12T04:44:11Z","0"
"AdityaUniversity_Clone","harinikamana","","https://github.com/harinikamana/AdityaUniversity_Clone","HTML","2025-06-28T09:06:27Z","0"
"aditya-university-placement-assistant-chatbot-n8n","kirankumar-pikki","AI-powered placement assistant for Aditya University. Includes structured JSON data of opportunities placements recruiters internship details and career development services for chatbot and automation integration.","https://github.com/kirankumar-pikki/aditya-university-placement-assistant-chatbot-n8n","","2026-02-28T08:19:04Z","0"
"dhana-lakshmi-srikakulapu","dhanalakshmisrikakulapu78","i am a aiml student at aditya university","https://github.com/dhanalakshmisrikakulapu78/dhana-lakshmi-srikakulapu","","2026-02-22T16:46:15Z","0"
"Veda-Techfest","akondi-athreya","A dynamic full-stack web application for VEDA 2K24   Aditya University s official national-level technical fest platform. Built with the MERN stack Razorpay integration and GSAP animations    Code is private. Contact for collaboration/access: akondiathreya@gmail.com | https://www.linkedin.com/in/athreya-akondi-/","https://github.com/akondi-athreya/Veda-Techfest","","2026-02-21T15:19:47Z","0"
"5_DayWorkshop_Django-Aditya-University","ChandanLabs","   5-Day Django Workshop Projects Hands-on university workshop building full-stack web apps with Django (Python framework). Covered MVT architecture ORM models views templates authentication forms and deployment. Projects include todo apps and blogs leveraging my Python basics for rapid web dev skills. Perfect intro to scalable backends!","https://github.com/ChandanLabs/5_DayWorkshop_Django-Aditya-University","Python","2026-02-16T04:49:44Z","1"
"Aditya-University-quiz-portal","raviprakashbadugu","You said Aditya University Quiz Portal is a web-based platform where students can participate in online quizzes and test their knowledge on different topics","https://github.com/raviprakashbadugu/Aditya-University-quiz-portal","TypeScript","2026-02-18T17:37:12Z","1"
"Python-programs.Aditya_University","tafadzwa222","I am persuing B.Tech Computer Science and Enginnering at Aditya Univrsity Andhra Pradesh India","https://github.com/tafadzwa222/Python-programs.Aditya_University","","2026-02-18T16:25:00Z","0"
"my-portfolio","Devavaraprasad-D","I am a dedicated Agricultural Engineering graduate from Aditya Engineering College with a passion for integrating modern technology into sustainable farming. My professional journey is defined by a unique blend of technical skills in IoT and GIS applications alongside hands-on field experience in large-scale ecological projects.","https://github.com/Devavaraprasad-D/my-portfolio","","2026-01-31T06:53:06Z","0"
"Aditya-University-Works","Darlington-chinokwetu-codes-dev","These are works From semester 1 up to date","https://github.com/Darlington-chinokwetu-codes-dev/Aditya-University-Works","Jupyter Notebook","2025-10-16T09:19:00Z","0"
"Campus-Connect","Sumayyashaik890","Campus Connect is a simple web-based notice board for Aditya University that displays exams assignments events and announcements. It works fully offline using localStorage supports search and filters and allows only authorized admins to manage notices through a clean responsive interface.","https://github.com/Sumayyashaik890/Campus-Connect","HTML","2026-01-24T06:04:20Z","0"
"Aditya_University","TECHIEVK007","","https://github.com/TECHIEVK007/Aditya_University","C++","2025-10-28T04:47:02Z","0"
"AdityaUniversity","sathishlutukurthi4294","","https://github.com/sathishlutukurthi4294/AdityaUniversity","","2025-12-06T10:57:29Z","0"
"aditya-university","kurmapusrigowtham20-collab","","https://github.com/kurmapusrigowtham20-collab/aditya-university","CSS","2025-12-04T08:35:29Z","0"
"C-Programming","vivekguvvabathina","1st Year Aditya University","https://github.com/vivekguvvabathina/C-Programming","C++","2025-11-11T04:24:24Z","0"
"AUS_CPP_LAB","HEMANTHKOTHALA","Aditya university-B.tech- 2nd year _CPP_LAB","https://github.com/HEMANTHKOTHALA/AUS_CPP_LAB","C++","2025-09-26T06:20:43Z","0"
"DBMS_LabPrograms_AUS","BakhtSingh23","This folder consists of my DBMS lab programs from III Semester at Aditya University Surampalem.","https://github.com/BakhtSingh23/DBMS_LabPrograms_AUS","","2025-11-05T15:56:30Z","0"
"Technical-Training-with_C","Das-krishnandu-01","Weekly C programming exercises for AIML Technical Training (Aditya University III-Sem 2025 26).","https://github.com/Das-krishnandu-01/Technical-Training-with_C","C","2025-10-23T18:40:41Z","1"
"IIY-IIIS-OS","mulikiganesh99","Aditya University","https://github.com/mulikiganesh99/IIY-IIIS-OS","C++","2025-10-13T07:01:17Z","0"
"aditya-university-SABL-activity-certification","Kuruvasatheeshkumar","","https://github.com/Kuruvasatheeshkumar/aditya-university-SABL-activity-certification","","2025-10-16T02:29:47Z","0"
"IIY-IIIS-DBMS","mulikiganesh99","Aditya University","https://github.com/mulikiganesh99/IIY-IIIS-DBMS","","2025-10-13T07:18:37Z","0"
"IIY-IIIS-PYTHON","mulikiganesh99","Aditya University","https://github.com/mulikiganesh99/IIY-IIIS-PYTHON","Python","2025-10-13T07:17:44Z","0"
"Aditya-University","Vardhansaigadde","Aditya university lab programs...","https://github.com/Vardhansaigadde/Aditya-University","","2025-10-13T06:49:05Z","0"
"Aditya-University","nagagayathriyedla","","https://github.com/nagagayathriyedla/Aditya-University","","2025-10-09T10:41:47Z","0"
"java_dsa_guvi","Nithishsrisatya","In Aditya Engineering College The management tie up with the GUVI-HCL to train the student and I was selected in their Assessment exam for Training and It was created for training DSA in java.","https://github.com/Nithishsrisatya/java_dsa_guvi","Java","2025-06-09T06:19:29Z","0"
"auscpplab","usercsk","Aditya University : B. Tech II Year - CPP Lab","https://github.com/usercsk/auscpplab","","2025-09-26T06:20:34Z","0"
"aditya-university-chatbot","nagesh1786","Description: AI Chatbot for Aditya University - Course info admissions faculty details","https://github.com/nagesh1786/aditya-university-chatbot","JavaScript","2025-09-20T06:28:47Z","0"
"LMSplatform","RikhilPatta","A modern full-stack Learning Management System (LMS) designed for Aditya University s MBA Department. This platform enhances classroom interaction supports introverted learners and enables teachers to assess their teaching effectiveness in real time using digital tools.","https://github.com/RikhilPatta/LMSplatform","HTML","2025-09-11T17:38:55Z","0"
"hunger-rush","pavan1173","Aditya university canteen","https://github.com/pavan1173/hunger-rush","TypeScript","2025-09-01T17:13:51Z","0"
"Veda-Techfest","Saichandu03","A dynamic full-stack web application for VEDA 2K24   Aditya University s official national-level technical fest platform. Built with the MERN stack Razorpay integration and GSAP animations    Code is private. Contact for collaboration/access: saichanduadapa951@gmail.com | https://www.linkedin.com/in/saichandu-adapa-143b41254/","https://github.com/Saichandu03/Veda-Techfest","","2025-07-10T05:27:49Z","0"
"ath.backend","nryadav18","The Aditya Transport Hub backend powers a Full-Stack Smart Transport Management System for Aditya University. It connects the Frontend interface with live IoT devices enabling Real-time Bus Tracking Directions to a Specific Bus User management and much more.","https://github.com/nryadav18/ath.backend","JavaScript","2024-12-20T15:50:10Z","1"
"aditya-university-event-data-power-bi","kathipallimadhukiran","","https://github.com/kathipallimadhukiran/aditya-university-event-data-power-bi","","2025-08-01T10:31:23Z","0"
"22A91A6106","neha949","Aditya Engineering College","https://github.com/neha949/22A91A6106","JavaScript","2025-06-26T05:40:32Z","0"
"github-Aditya-University","Aditya-Chandra-Debnath","","https://github.com/Aditya-Chandra-Debnath/github-Aditya-University","","2025-06-23T19:09:16Z","0"
